epoch,accuracy,loss,lr,val_accuracy,val_loss
20,0.8903619647026062,0.3813621699810028,0.001,0.8913092017173767,0.3742310404777527
21,0.8934705853462219,0.36841651797294617,0.001,0.8892214894294739,0.3853686451911926
22,0.8906992673873901,0.37899091839790344,0.001,0.8829876780509949,0.4222925305366516
23,0.8981111645698547,0.3534548282623291,0.001,0.883043646812439,0.4012773036956787
24,0.8989059329032898,0.34993982315063477,0.001,0.8872265815734863,0.3945041596889496
25,0.900485098361969,0.3434050381183624,0.001,0.8939608931541443,0.3669767677783966
26,0.9056199193000793,0.3244667947292328,0.001,0.887728750705719,0.3981580436229706
27,0.9068174958229065,0.31920480728149414,0.001,0.8857151865959167,0.4109017550945282
28,0.9056631326675415,0.32261407375335693,0.001,0.892702043056488,0.3894491493701935
29,0.909827470779419,0.30924275517463684,0.001,0.8943852186203003,0.37478792667388916
