epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.64616459608078,1.4232007265090942,0.001,0.46237075328826904,2.917875051498413
1,0.7466444969177246,0.9861195087432861,0.001,0.7078030109405518,1.093758225440979
2,0.7700759768486023,0.8808386325836182,0.001,0.7767065167427063,0.9031870365142822
0,0.6569271087646484,1.440131664276123,0.001,0.4045030176639557,3.090104103088379
1,0.7451909780502319,0.9906839728355408,0.001,0.7050634622573853,1.231614112854004
2,0.7650008201599121,0.9030645489692688,0.001,0.7609527707099915,1.0042082071304321
3,0.7832682728767395,0.8265169858932495,0.001,0.7993017435073853,0.7439024448394775
4,0.7976348996162415,0.7623285055160522,0.001,0.6798388957977295,1.2285349369049072
5,0.8072265386581421,0.7211663126945496,0.001,0.8253350853919983,0.6295520067214966
6,0.8120288252830505,0.6939980387687683,0.001,0.8246522545814514,0.6425568461418152
7,0.8164106011390686,0.676041305065155,0.001,0.8350064158439636,0.5839459896087646
8,0.8249463438987732,0.641822874546051,0.001,0.827220618724823,0.5896401405334473
9,0.830294668674469,0.6178552508354187,0.001,0.847821831703186,0.5411118268966675
10,0.8340059518814087,0.6004964113235474,0.001,0.8499169945716858,0.5214056372642517
11,0.8359867334365845,0.5905441045761108,0.001,0.8361843824386597,0.5719037652015686
12,0.8411752581596375,0.5713648200035095,0.001,0.8584204316139221,0.4892350137233734
13,0.838143527507782,0.5790523290634155,0.001,0.8607684373855591,0.49016207456588745
14,0.8464229106903076,0.5439964532852173,0.001,0.8618937730789185,0.47672775387763977
0,0.6413778066635132,1.4241552352905273,0.001,0.48320555686950684,2.463468074798584
1,0.7446210384368896,0.9899641871452332,0.001,0.5323071479797363,1.6581073999404907
2,0.7661131024360657,0.8935604095458984,0.001,0.7536441087722778,0.9746869802474976
3,0.7856315970420837,0.8124963641166687,0.001,0.7956408858299255,0.7505744695663452
4,0.796862781047821,0.761981189250946,0.001,0.8163585066795349,0.6854867339134216
5,0.8056978583335876,0.7219629287719727,0.001,0.8277713060379028,0.6504946947097778
6,0.808586835861206,0.7036243081092834,0.001,0.8308786153793335,0.61870938539505
7,0.8191103935241699,0.6632179021835327,0.001,0.8238635063171387,0.6090904474258423
8,0.8258541822433472,0.632434606552124,0.001,0.8425917029380798,0.54823899269104
9,0.8280788064002991,0.6241247057914734,0.001,0.8368870615959167,0.5645291805267334
10,0.831928014755249,0.6063076257705688,0.001,0.8554693460464478,0.4952157735824585
11,0.8406920433044434,0.5693451166152954,0.001,0.8576640486717224,0.5032306909561157
12,0.8427796363830566,0.5580416321754456,0.001,0.8530609011650085,0.5025823712348938
13,0.8421733379364014,0.5617605447769165,0.001,0.8397142291069031,0.5681564807891846
14,0.8498599529266357,0.5304704308509827,0.001,0.8629884123802185,0.47932320833206177
15,0.8513441681861877,0.5246760845184326,0.001,0.8632327318191528,0.4874385893344879
16,0.8552013039588928,0.5102488398551941,0.001,0.861311674118042,0.4784252643585205
17,0.859452486038208,0.49226436018943787,0.001,0.8637229800224304,0.4708937108516693
18,0.8632109761238098,0.47697240114212036,0.001,0.866934061050415,0.4556087255477905
19,0.8637019991874695,0.47574126720428467,0.001,0.8708029389381409,0.45382922887802124
20,0.865507185459137,0.4682011306285858,0.001,0.8723905682563782,0.4393868148326874
21,0.8681981563568115,0.45704254508018494,0.001,0.8754890561103821,0.4274129867553711
22,0.8727624416351318,0.441569060087204,0.001,0.8730616569519043,0.437357097864151
23,0.8736671805381775,0.43660929799079895,0.001,0.8747973442077637,0.4534030556678772
24,0.8791901469230652,0.41653093695640564,0.001,0.879953145980835,0.41092658042907715
25,0.8778833150863647,0.42301660776138306,0.001,0.8775909543037415,0.41689902544021606
26,0.8821946382522583,0.40532970428466797,0.001,0.8788335919380188,0.41380199790000916
27,0.8828871846199036,0.40320074558258057,0.001,0.8852403163909912,0.38977131247520447
28,0.8835170269012451,0.3995114862918854,0.001,0.8641934394836426,0.4887318015098572
29,0.8857097625732422,0.3913874328136444,0.001,0.8774476647377014,0.41324225068092346
0,0.6523007154464722,1.433091402053833,0.001,0.5724325776100159,2.241168260574341
1,0.7409386038780212,1.009459376335144,0.001,0.7276914715766907,0.999952495098114
2,0.7719409465789795,0.8736951947212219,0.001,0.6660344004631042,1.6616673469543457
3,0.7867303490638733,0.8020219206809998,0.001,0.7934364080429077,0.7849753499031067
4,0.7984327077865601,0.7511919736862183,0.001,0.7763749957084656,0.8762556314468384
5,0.8043363690376282,0.7254957556724548,0.001,0.8200749158859253,0.6813150644302368
0,0.6747480034828186,1.340551733970642,0.001,0.5000054836273193,2.8774631023406982
1,0.769252598285675,0.9090749025344849,0.001,0.6225041151046753,1.3310556411743164
2,0.7946191430091858,0.7954757809638977,0.001,0.7839145064353943,0.8129695653915405
3,0.8038415312767029,0.7496317028999329,0.001,0.8134011626243591,0.7174819111824036
4,0.819610059261322,0.6815669536590576,0.001,0.8429450988769531,0.5954049229621887
5,0.82373046875,0.6568544507026672,0.001,0.8194851875305176,0.6324383020401001
6,0.8270266652107239,0.6401641964912415,0.001,0.8218846321105957,0.6021325588226318
7,0.838348388671875,0.5950470566749573,0.001,0.7975817918777466,0.7562089562416077
8,0.8482064604759216,0.55684894323349,0.001,0.864676833152771,0.48126891255378723
9,0.8515588641166687,0.5418159365653992,0.001,0.8646635413169861,0.4743371605873108
10,0.8560754656791687,0.5174453854560852,0.001,0.8669288754463196,0.47617706656455994
11,0.8586934208869934,0.5054682493209839,0.001,0.8643174767494202,0.48854994773864746
12,0.8631651997566223,0.4835904538631439,0.001,0.869752824306488,0.4517640769481659
13,0.8655411601066589,0.47664153575897217,0.001,0.872139573097229,0.4538465440273285
14,0.8680282831192017,0.4656049609184265,0.001,0.7626497149467468,0.9699426889419556
15,0.8632733225822449,0.48761698603630066,0.001,0.8710171580314636,0.45014575123786926
16,0.876656711101532,0.4324261546134949,0.001,0.8836231827735901,0.40179121494293213
17,0.8804522752761841,0.4167788326740265,0.001,0.8772752285003662,0.42970743775367737
18,0.8810182809829712,0.4144843816757202,0.001,0.8728531002998352,0.44039782881736755
19,0.8858627080917358,0.3980769217014313,0.001,0.883402407169342,0.39779675006866455
